Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                Disrupted diurnal oscillations of the gut microbiota in patients with alcohol dependence.
              
            ","Zhao K, Ni Z, Qin Y, Zhu R, Yu Z, Ma Y, Chen W, Sun Q, Wang Z, Liu Y, Zhao J, Peng W, Hu S, Shi J, Lu L, Sun H.",Front Cell Infect Microbiol. 2023 Feb 17;13:1127011. doi: 10.3389/fcimb.2023.1127011. eCollection 2023.,36875518,"
              Herein, this study aimed to investigate diurnal oscillations of the gut microbiota in AD patients. METHODS: Thirty-two patients with AD, based on the Diagnostic and Statistical Manual of Mental Disorders, 4th edition, and 20 healthy subjects were enrolled in …
            "
"
              
                Altered Fecal Microbiota Composition in Older Adults With Frailty.
              
            ","Xu Y, Wang Y, Li H, Dai Y, Chen D, Wang M, Jiang X, Huang Z, Yu H, Huang J, Xiong Z.",Front Cell Infect Microbiol. 2021 Aug 17;11:696186. doi: 10.3389/fcimb.2021.696186. eCollection 2021.,34485176,"
              METHODS: We collected serum and fecal samples from 94 community-dwelling older adults, along with anthropometric, medical, mental health, and lifestyle data. Serum inflammatory cytokines IL-6 and HGMB1 and the intestinal permeability biomarker zonulin were measured …
            "
"
              
                Alteration of gut microbiota-associated epitopes in children with autism spectrum disorders.
              
            ","Wang M, Zhou J, He F, Cai C, Wang H, Wang Y, Lin Y, Rong H, Cheng G, Xu R, Zhou W.",Brain Behav Immun. 2019 Jan;75:192-199. doi: 10.1016/j.bbi.2018.10.006. Epub 2018 Oct 27.,30394313,"
              BACKGROUND: Autism spectrum disorder (ASD) affects 1% of children and has no cure. Gastrointestinal (GI) problems are common in children with ASD, and although gut microbiota is known to play an important role in ASD through the gut-brain axis, the spe …
            "
"
              
                The Role of the Microbiome in the Metabolic Health of People with Schizophrenia and Related Psychoses: Cross-Sectional and Pre-Post Lifestyle Intervention Analyses.
              
            ","O'Donnell M, Teasdale SB, Chua XY, Hardman J, Wu N, Curtis J, Samaras K, Bolton P, Morris MJ, Shannon Weickert C, Purves-Tyson T, El-Assaad F, Jiang XT, Hold GL, El-Omar E.",Pathogens. 2022 Nov 1;11(11):1279. doi: 10.3390/pathogens11111279.,36365032,"
              Participants were recruited from the Eastern Suburbs Mental Health Service, Sydney, Australia. Anthropometric, lifestyle and gut microbiota data were collected at baseline and following a 12-week lifestyle intervention. ...This pilot study adds to the …
            "
"
              
                Gut microbiota composition in children with obstructive sleep apnoea syndrome: a pilot study.
              
            ","Valentini F, Evangelisti M, Arpinelli M, Di Nardo G, Borro M, Simmaco M, Villa MP.",Sleep Med. 2020 Dec;76:140-147. doi: 10.1016/j.sleep.2020.10.017. Epub 2020 Oct 17.,33181474,"
              STUDY OBJECTIVES: To evaluate gut microbiota composition in OSAS children in respect to healthy subjects and investigate the role of sleep parameters in changing gut microbiome. ...Further studies should be conducted to understand the role of gut …
            "
"
              
                The host genetics affects gut microbiome diversity in Chinese depressed patients.
              
            ","Han K, Ji L, Wang C, Shao Y, Chen C, Liu L, Feng M, Yang F, Wu X, Li X, Xie Q, He L, Shi Y, He G, Dong Z, Yu T.",Front Genet. 2023 Jan 9;13:976814. doi: 10.3389/fgene.2022.976814. eCollection 2022.,36699448,"
              Our study applied linear discriminant analysis (LDA) effect size (LEfSe) and genome-wide association analysis in the cohort with both gut sequencing data and genomics data. We reported the different gut microbiota characteristics between MDD and control group …
            "
"
              
                The therapeutic potential of Ziziphi Spinosae Semen and Polygalae Radix in insomnia management: Insights from gut microbiota and serum metabolomics techniques.
              
            ","Ren H, Kong X, Zhang Y, Deng F, Li J, Zhao F, Li P, Pei K, Tan J, Cheng Y, Wang Y, Zhang L, Wang Y, Hao X.",J Ethnopharmacol. 2024 Aug 10;330:118255. doi: 10.1016/j.jep.2024.118255. Epub 2024 Apr 24.,38670402,"
              Furthermore, ZSS-PR primarily influenced five metabolic pathways, such as phenylalanine, tyrosine, and tryptophan biosynthesis, glutamine, and glutamate metabolism. Additionally, gut microbiota analysis revealed notable alterations in both diversity and micro …
            "
"
              
                Characteristics of the gut microbiota in bipolar depressive disorder patients with distinct weight.
              
            ","Zhang P, Zhang D, Lai J, Fu Y, Wu L, Huang H, Pan Y, Jiang J, Xi C, Che Z, Song X, Hu S.",CNS Neurosci Ther. 2023 Jun;29 Suppl 1(Suppl 1):74-83. doi: 10.1111/cns.14078. Epub 2023 Jan 5.,36604186,"
              BACKGROUND: Preliminary studies have indicated metabolic dysfunction and gut dysbiosis in patients with bipolar disorder (BD). In this study, we aimed to clarify the impact of the gut microbial composition and function on metabolic dysfunction in BD patients with an …
            "
"
              
                An exploratory study of the gut microbiota in major depression with anxious distress.
              
            ","Ritchie G, Strodl E, Parham S, Bambling M, Cramb S, Vitetta L.",J Affect Disord. 2023 Jan 1;320:595-604. doi: 10.1016/j.jad.2022.10.001. Epub 2022 Oct 7.,36209779,"
              OBJECTIVES: To explore differences in the diversity and composition of the gut microbiome between major depressive disorder (MDD) with and without anxious distress. ...Significant group differences in the relative abundance of gut microbiota how …
            "
"
              
                Gut microbiome in Schizophrenia: Altered functional pathways related to immune modulation and atherosclerotic risk.
              
            ","Nguyen TT, Kosciolek T, Daly RE, Vázquez-Baeza Y, Swafford A, Knight R, Jeste DV.",Brain Behav Immun. 2021 Jan;91:245-256. doi: 10.1016/j.bbi.2020.10.003. Epub 2020 Oct 22.,33098964,"
              Emerging evidence has linked the gut microbiome changes to schizophrenia. However, there has been limited research into the functional pathways by which the gut microbiota contributes to the phenotype of persons with chronic schizophrenia. We character …
            "
"
              
                Mitochondria and Antibiotics: For Good or for Evil?
              
            ","Suárez-Rivero JM, Pastor-Maldonado CJ, Povea-Cabello S, Álvarez-Córdoba M, Villalón-García I, Talaverón-Rey M, Suárez-Carrillo A, Munuera-Cabeza M, Sánchez-Alcázar JA.",Biomolecules. 2021 Jul 17;11(7):1050. doi: 10.3390/biom11071050.,34356674,"
              Notwithstanding, a notorious number of recent studies support the use of these drugs to treat very diverse conditions, ranging from cancer to neurodegenerative or mitochondrial diseases. ...
            "
"
              
                Altered Gut Microbiota Composition Is Associated with Difficulty in Explicit Emotion Regulation in Young Children.
              
            ","Fujihara H, Matsunaga M, Ueda E, Kajiwara T, Takeda AK, Watanabe S, Baba K, Hagihara K, Myowa M.",Microorganisms. 2023 Sep 6;11(9):2245. doi: 10.3390/microorganisms11092245.,37764088,"
              Executive function (EF) consists of explicit emotion regulation (EER) and cognitive control (CC). Childhood EER in particular predicts mental and physical health in adulthood. Identifying factors affecting EER development has implications for lifelong physical and …
            "
"
              
                Subgingival microbiome at different levels of cognition.
              
            ","Fogelholm N, Leskelä J, Manzoor M, Holmer J, Paju S, Hiltunen K, Roitto HM, Saarela RK, Pitkälä K, Eriksdotter M, Buhlin K, Pussinen PJ, Mäntylä P.",J Oral Microbiol. 2023 Feb 19;15(1):2178765. doi: 10.1080/20002297.2023.2178765. eCollection 2023.,36844899,"
              Oral health and declining cognition may have a bi-directional association. ...Cognitive decline is associated with obvious changes in the composition of the oral microbiota. Impaired cognition is accompanied with poor oral health status and the appearance of …
            "
"
              
                Influence of Food Type on Human Psychological-Behavioral Responses and Crime Reduction.
              
            ","Heidari M, Khodadadi Jokar Y, Madani S, Shahi S, Shahi MS, Goli M.",Nutrients. 2023 Aug 25;15(17):3715. doi: 10.3390/nu15173715.,37686747,"
              Additionally, by being aware of the link between food and mental health, the community can be encouraged to make informed food choices in order to avoid unfavorable outcomes like criminality. ...For example, herbal extracts and flavonoids have the potential to impro …
            "
"
              
                Strain-level structure of gut microbiome showed potential association with cognitive function in major depressive disorder: A pilot study.
              
            ","Dong Z, Xie Q, Yuan Y, Shen X, Hao Y, Li J, Xu H, Kuang W.",J Affect Disord. 2023 Nov 15;341:236-247. doi: 10.1016/j.jad.2023.08.129. Epub 2023 Aug 30.,37657622,"
              BACKGROUND: Although the association between gut microbiota and the pathogenesis of major depressive disorder (MDD) has been well studied, it is unclear whether gut microbiota affects cognitive function in patients with MDD. In this study, we explored …
            "
"
              
                Deciphering the therapeutic potential of SheXiangXinTongNing: Interplay between gut microbiota and brain metabolomics in a CUMS mice model, with a focus on tryptophan metabolism.
              
            ","Wang X, Zhou J, Jiang T, Xu J.",Phytomedicine. 2024 Apr 20;129:155584. doi: 10.1016/j.phymed.2024.155584. Online ahead of print.,38704913,"
              Depression, a prevalent and multifaceted mental disorder, has emerged as a significant public health concern due to its escalating prevalence and heightened risk of severe suicidality. ...Furthermore, 16S rRNA sequencing unveiled that XTN increased the alpha-dive …
            "
"
              
                Manipulations of the gut microbiome alter chemotherapy-induced inflammation and behavioral side effects in female mice.
              
            ","Grant CV, Loman BR, Bailey MT, Pyter LM.",Brain Behav Immun. 2021 Jul;95:401-412. doi: 10.1016/j.bbi.2021.04.014. Epub 2021 Apr 22.,33895287,"
              In non-oncological patients, facets of mental health (fatigue, anxiety, depression) correlate with alterations in the gut microbiome, suggestive of a contribution of the gut in CNS disease etiology. ...Taken together, these data provide further …
            "
